container,interactivity level,delay,duration,num commands,num keystrokes,attacker_ip,time of log
DESKTOP-4AJRJA,non-interactive,5,,0,0,178.62.105.223,2024-10-24 23:45:04.369003
DESKTOP-4AJRJA,non-interactive,30,,0,0,,2024-10-24 23:46:03.652739
DESKTOP-5AJRJA,non-interactive,1,,0,0,146.190.124.79,2024-10-24 23:47:03.915479
DESKTOP-4AJRJA,non-interactive,0,,0,0,206.189.26.130,2024-10-24 23:49:04.052652
DESKTOP-4AJRJA,non-interactive,10,,0,0,178.62.105.223,2024-10-24 23:51:04.193994
DESKTOP-4AJRJA,non-interactive,5,,0,0,,2024-10-24 23:52:04.074907
DESKTOP-5AJRJA,non-interactive,30,,0,0,146.190.124.79,2024-10-24 23:52:06.849941
DESKTOP-4AJRJA,non-interactive,5,,0,0,206.189.26.130,2024-10-24 23:55:03.667098
DESKTOP-4AJRJA,non-interactive,0,,0,0,178.62.105.223,2024-10-24 23:57:04.062338
DESKTOP-5AJRJA,non-interactive,30,,0,0,146.190.124.79,2024-10-24 23:58:03.695550
DESKTOP-4AJRJA,non-interactive,1,,0,0,206.189.26.130,2024-10-25 00:02:04.373334
DESKTOP-5AJRJA,non-interactive,2,,0,0,146.190.124.79,2024-10-25 00:03:04.419644
DESKTOP-4AJRJA,non-interactive,5,,0,0,206.189.22.108,2024-10-25 00:04:04.272721
DESKTOP-5AJRJA,non-interactive,30,,0,0,146.190.124.79,2024-10-25 00:08:03.952630
DESKTOP-4AJRJA,non-interactive,30,,0,0,178.62.105.223,2024-10-25 00:09:04.630982
DESKTOP-4AJRJA,interactive,30,,0,0,167.94.145.102,2024-10-25 00:13:03.760446
DESKTOP-5AJRJA,non-interactive,2,,0,0,146.190.124.79,2024-10-25 00:13:06.634339
DESKTOP-4AJRJA,non-interactive,1,,0,0,178.62.105.223,2024-10-25 00:15:04.123714
DESKTOP-5AJRJA,non-interactive,30,,0,0,146.190.124.79,2024-10-25 00:19:04.149381
DESKTOP-4AJRJA,non-interactive,30,,0,0,178.62.105.223,2024-10-25 00:21:04.224546
DESKTOP-4AJRJA,non-interactive,1,,0,0,206.189.26.130,2024-10-25 00:23:04.030661
DESKTOP-5AJRJA,non-interactive,5,,0,0,146.190.124.79,2024-10-25 00:24:04.233283
DESKTOP-4AJRJA,non-interactive,10,,0,0,178.62.105.223,2024-10-25 00:27:03.911677
DESKTOP-4AJRJA,non-interactive,5,,0,0,206.189.26.130,2024-10-25 00:29:04.176593
DESKTOP-5AJRJA,non-interactive,30,,0,0,146.190.124.79,2024-10-25 00:29:07.130980
DESKTOP-4AJRJA,non-interactive,1,,0,0,178.62.105.223,2024-10-25 00:33:04.198792
DESKTOP-5AJRJA,non-interactive,2,,0,0,146.190.124.79,2024-10-25 00:35:03.641185
DESKTOP-4AJRJA,non-interactive,5,,0,0,178.62.105.223,2024-10-25 00:39:04.226012
DESKTOP-5AJRJA,non-interactive,30,,0,0,146.190.124.79,2024-10-25 00:40:04.218581
DESKTOP-4AJRJA,non-interactive,2,,0,0,178.62.105.223,2024-10-25 00:44:04.479125
DESKTOP-5AJRJA,non-interactive,2,,0,0,146.190.124.79,2024-10-25 00:45:04.499654
DESKTOP-4AJRJA,non-interactive,1,,0,0,178.62.105.223,2024-10-25 00:50:03.830691
DESKTOP-5AJRJA,non-interactive,30,,0,0,146.190.124.79,2024-10-25 00:50:06.685682
DESKTOP-4AJRJA,non-interactive,10,,0,0,178.62.105.223,2024-10-25 00:56:04.134623
DESKTOP-5AJRJA,non-interactive,5,,0,0,146.190.124.79,2024-10-25 00:56:07.554500
DESKTOP-5AJRJA,non-interactive,2,,0,0,146.190.124.79,2024-10-25 01:01:03.943651
DESKTOP-4AJRJA,non-interactive,30,,0,0,178.62.105.223,2024-10-25 01:02:04.425536
DESKTOP-5AJRJA,non-interactive,5,,0,0,146.190.124.79,2024-10-25 01:06:04.019765
DESKTOP-4AJRJA,non-interactive,5,,0,0,178.62.105.223,2024-10-25 01:08:04.017935
DESKTOP-5AJRJA,non-interactive,2,,0,0,146.190.124.79,2024-10-25 01:12:04.435210
DESKTOP-4AJRJA,non-interactive,30,,0,0,178.62.105.223,2024-10-25 01:14:04.553348
DESKTOP-5AJRJA,non-interactive,2,,0,0,146.190.124.79,2024-10-25 01:17:03.782415
DESKTOP-4AJRJA,non-interactive,5,,0,0,178.62.105.223,2024-10-25 01:20:04.147505
DESKTOP-5AJRJA,non-interactive,0,,0,0,146.190.124.79,2024-10-25 01:22:04.357661
DESKTOP-5AJRJA,non-interactive,1,,0,0,146.190.124.79,2024-10-25 01:28:03.788460
DESKTOP-5AJRJA,non-interactive,2,,0,0,146.190.124.79,2024-10-25 01:33:04.091058
DESKTOP-5AJRJA,interactive,0,,0,0,139.19.117.131,2024-10-25 01:36:03.556225
DESKTOP-5AJRJA,non-interactive,2,,0,0,146.190.124.79,2024-10-25 01:38:04.176619
DESKTOP-4AJRJA,non-interactive,5,,0,0,45.148.10.240,2024-10-25 01:44:04.310460
DESKTOP-5AJRJA,non-interactive,0,,0,0,146.190.124.79,2024-10-25 01:44:07.169244
DESKTOP-5AJRJA,non-interactive,2,,0,0,146.190.124.79,2024-10-25 01:49:04.463961
DESKTOP-4AJRJA,non-interactive,2,,0,0,45.148.10.240,2024-10-25 01:50:04.107009
DESKTOP-5AJRJA,non-interactive,2,,0,0,146.190.124.79,2024-10-25 01:54:03.818694
DESKTOP-4AJRJA,interactive,5,,0,0,45.148.10.240,2024-10-25 01:55:04.483726
DESKTOP-5AJRJA,non-interactive,30,,0,0,146.190.124.79,2024-10-25 01:59:03.960627
DESKTOP-4AJRJA,interactive,1,,0,0,45.148.10.240,2024-10-25 02:00:04.346709
DESKTOP-5AJRJA,non-interactive,2,,0,0,146.190.124.79,2024-10-25 02:05:03.992339
DESKTOP-4AJRJA,interactive,2,,0,0,45.148.10.240,2024-10-25 02:06:03.688649
DESKTOP-5AJRJA,interactive,0,,0,0,45.79.172.21,2024-10-25 02:07:03.976172
DESKTOP-5AJRJA,non-interactive,2,,0,0,146.190.124.79,2024-10-25 02:10:04.162224
DESKTOP-4AJRJA,interactive,30,,0,0,45.148.10.240,2024-10-25 02:11:04.234790
DESKTOP-5AJRJA,interactive,10,,0,0,47.121.131.145,2024-10-25 02:11:07.075469
DESKTOP-5AJRJA,non-interactive,0,,0,0,146.190.124.79,2024-10-25 02:16:04.076173
DESKTOP-4AJRJA,non-interactive,10,,0,0,45.148.10.240,2024-10-25 02:17:03.855896
DESKTOP-5AJRJA,non-interactive,30,,0,0,146.190.124.79,2024-10-25 02:21:03.786505
DESKTOP-4AJRJA,non-interactive,10,,0,0,45.148.10.240,2024-10-25 02:22:04.124196
DESKTOP-5AJRJA,non-interactive,0,,0,0,146.190.124.79,2024-10-25 02:27:04.486061
DESKTOP-4AJRJA,non-interactive,0,,0,0,45.148.10.240,2024-10-25 02:28:04.309960
DESKTOP-5AJRJA,non-interactive,5,,0,0,146.190.124.79,2024-10-25 02:32:03.711290
DESKTOP-4AJRJA,non-interactive,2,,0,0,45.148.10.240,2024-10-25 02:33:04.372898
DESKTOP-5AJRJA,interactive,0,,0,0,139.19.117.131,2024-10-25 02:36:03.744423
DESKTOP-5AJRJA,non-interactive,1,,0,0,,2024-10-25 02:37:03.609824
DESKTOP-4AJRJA,non-interactive,2,,0,0,45.148.10.240,2024-10-25 02:39:03.734629
DESKTOP-4AJRJA,interactive,2,,0,0,92.255.85.107,2024-10-25 02:43:04.365398
DESKTOP-5AJRJA,non-interactive,5,,0,0,146.190.124.79,2024-10-25 02:43:07.167721
DESKTOP-5AJRJA,non-interactive,1,,0,0,146.190.124.79,2024-10-25 02:48:04.116777
DESKTOP-4AJRJA,non-interactive,2,,0,0,45.148.10.240,2024-10-25 02:49:04.138041
DESKTOP-5AJRJA,non-interactive,5,,0,0,146.190.124.79,2024-10-25 02:53:03.673544
DESKTOP-4AJRJA,non-interactive,30,,0,0,45.148.10.240,2024-10-25 02:55:04.099108
DESKTOP-5AJRJA,non-interactive,5,,0,0,146.190.124.79,2024-10-25 02:59:03.564388
DESKTOP-4AJRJA,non-interactive,1,,0,0,45.148.10.240,2024-10-25 03:00:03.709709
DESKTOP-5AJRJA,non-interactive,30,,0,0,146.190.124.79,2024-10-25 03:04:03.897135
DESKTOP-4AJRJA,non-interactive,5,,0,0,45.148.10.240,2024-10-25 03:06:03.720634
DESKTOP-5AJRJA,non-interactive,5,,0,0,146.190.124.79,2024-10-25 03:09:03.815678
DESKTOP-4AJRJA,non-interactive,2,,0,0,45.148.10.240,2024-10-25 03:11:03.650027
DESKTOP-4AJRJA,interactive,10,,0,0,85.192.56.68,2024-10-25 03:13:03.983191
DESKTOP-5AJRJA,non-interactive,5,,0,0,146.190.124.79,2024-10-25 03:15:04.390252
DESKTOP-4AJRJA,non-interactive,2,,0,0,45.148.10.240,2024-10-25 03:17:03.797886
DESKTOP-5AJRJA,non-interactive,0,,0,0,146.190.124.79,2024-10-25 03:20:03.888234
DESKTOP-4AJRJA,non-interactive,1,,0,0,45.148.10.240,2024-10-25 03:22:03.761532
DESKTOP-5AJRJA,non-interactive,0,,0,0,146.190.124.79,2024-10-25 03:25:03.758671
DESKTOP-4AJRJA,non-interactive,30,,0,0,45.148.10.240,2024-10-25 03:28:04.259097
DESKTOP-5AJRJA,non-interactive,1,,0,0,146.190.124.79,2024-10-25 03:30:04.216743
DESKTOP-4AJRJA,non-interactive,10,,0,0,45.148.10.240,2024-10-25 03:33:03.660893
